loss,accuracy,lr
2.5588985730794676,0.09375,0.01
2.445894879363022,0.09375,0.01
2.396724042206421,0.15625,0.01
2.2292705125103085,0.21875,0.01
2.303728370677708,0.21875,0.01
2.2542796476730413,0.15625,0.01
2.267199472184334,0.21875,0.01
2.0378210424128373,0.28125,0.01
2.4503923368349847,0.125,0.01
2.526884041981515,0.125,0.01
2.3405960626128337,0.15625,0.01
2.1380028600644256,0.1875,0.01
2.310482618818564,0.21875,0.01
2.445068612521338,0.09375,0.01
2.2264015611105568,0.21875,0.01
2.292942331559381,0.1875,0.01
2.350574595545576,0.15625,0.01
2.3366129730498977,0.21875,0.01
2.2636336255048044,0.21875,0.01
2.48936380095092,0.1875,0.01
2.3530758203289706,0.125,0.01
2.4554416186279755,0.09375,0.01
2.314086119477096,0.125,0.01
2.253528965971,0.1875,0.01
2.4808869431352174,0.15625,0.01
2.186239350883567,0.28125,0.01
2.2288772856627874,0.25,0.01
2.3340471426687337,0.15625,0.01
2.3200075007509495,0.1875,0.01
2.320007186288768,0.21875,0.01
2.110619896945585,0.375,0.01
2.089287800364526,0.28125,0.01
2.0195944255506033,0.40625,0.01
2.0517189791974855,0.28125,0.01
2.141718864098936,0.25,0.01
2.05171571269994,0.34375,0.01
2.187609209141233,0.21875,0.01
2.173972823193577,0.21875,0.01
2.2053766471648557,0.21875,0.01
2.417639721020185,0.15625,0.01
2.190202958994953,0.15625,0.01
2.387511885472453,0.09375,0.01
2.142751762453902,0.1875,0.01
2.3086799370995403,0.15625,0.01
2.2447076571026368,0.1875,0.01
2.2759861513369395,0.28125,0.01
1.9851451319538413,0.3125,0.01
2.2252150159395265,0.21875,0.01
2.4987064976857685,0.15625,0.01
1.9894291781340878,0.28125,0.01
2.192827624397404,0.28125,0.01
2.4103261982509294,0.15625,0.01
2.156962924607841,0.1875,0.01
2.1599791472615637,0.1875,0.01
2.232133029203822,0.21875,0.01
2.3429952903167806,0.1875,0.01
2.1165765393286167,0.25,0.01
2.0937406970757353,0.28125,0.01
2.1828165452021424,0.28125,0.01
2.251197105005249,0.1875,0.01
2.1986360819391337,0.3125,0.01
1.9965627355255835,0.3125,0.01
2.099904727585155,0.21875,0.01
2.248486116662961,0.25,0.01
2.141059445495899,0.25,0.01
2.2863893061083087,0.21875,0.01
2.1646382695400543,0.15625,0.01
2.1959430060770124,0.1875,0.01
2.413808502745406,0.15625,0.01
2.232018441801042,0.21875,0.01
2.0883939694019995,0.28125,0.01
2.212162162329635,0.3125,0.01
2.101739393692205,0.28125,0.01
2.195662575317158,0.21875,0.01
1.9553088750978838,0.34375,0.01
2.227725647395207,0.15625,0.01
2.2011741706929984,0.34375,0.01
2.0233231649555683,0.25,0.01
2.1846263537213098,0.1875,0.01
2.2795540169303945,0.25,0.01
1.880934021154446,0.46875,0.01
2.108967137550838,0.25,0.01
2.111733877606105,0.28125,0.01
2.1296235958724212,0.25,0.01
2.2602515253370967,0.1875,0.01
2.0597053466462887,0.25,0.01
2.2223510380760847,0.1875,0.01
2.319134676313565,0.125,0.01
2.08627161158308,0.28125,0.01
2.105751260021816,0.28125,0.01
2.2400222292624075,0.25,0.01
2.052596427484348,0.34375,0.01
2.3714285612567902,0.1875,0.01
2.1514669563883912,0.25,0.01
2.1941405305499377,0.28125,0.01
2.221659186684174,0.21875,0.01
2.1710186781432483,0.25,0.01
2.0581902723146595,0.25,0.01
2.1925331179999166,0.1875,0.01
2.1231583568017665,0.21875,0.01
1.9907731396477657,0.28125,0.01
2.0744708286193365,0.3125,0.01
2.002576365609017,0.3125,0.01
2.0845234513486335,0.34375,0.01
2.14657805292471,0.28125,0.01
2.0424977465440417,0.15625,0.01
2.1329916236749376,0.375,0.01
2.2509023142760904,0.125,0.01
1.993127483034781,0.375,0.01
2.072696143551343,0.28125,0.01
2.0437537863906723,0.28125,0.01
2.089296037868782,0.34375,0.01
2.0095982731260236,0.3125,0.01
2.2509526777198587,0.1875,0.01
2.0293658182965952,0.375,0.01
2.002144554293999,0.34375,0.01
2.2834321427871487,0.15625,0.01
2.009691111488028,0.34375,0.01
1.9737862962409725,0.3125,0.01
2.1934198126363564,0.28125,0.01
2.2067507300271285,0.1875,0.01
2.028817029914391,0.3125,0.01
2.0534682177398826,0.28125,0.01
2.020912210080344,0.3125,0.01
2.245765399944735,0.1875,0.01
2.2797072436889763,0.25,0.01
2.2694087336340143,0.21875,0.01
2.137030523512221,0.3125,0.01
2.0935616900366005,0.21875,0.01
2.293929338492928,0.0625,0.01
1.826022517238115,0.46875,0.01
2.0094683064347256,0.21875,0.01
2.05423292230014,0.375,0.01
1.9116080060122211,0.375,0.01
2.0113058711597067,0.21875,0.01
2.1652255004189156,0.28125,0.01
2.1452811972881594,0.21875,0.01
2.004378475825463,0.40625,0.01
2.0089994863216867,0.28125,0.01
2.1880503057068648,0.25,0.01
1.9274634884353714,0.375,0.01
1.803686054201444,0.40625,0.01
2.1923161775261595,0.21875,0.01
1.9389709891762261,0.28125,0.01
2.116621001277981,0.28125,0.01
1.9471490731782781,0.40625,0.01
2.0496776633626363,0.28125,0.01
