loss,accuracy,lr
2.47682285724882,0.21875,0.01
2.558148117044083,0.1875,0.01
2.541354241138254,0.15625,0.01
1.853066648270117,0.40625,0.01
1.6006216158249422,0.5,0.01
1.8934279433996661,0.4375,0.01
1.2136624557532991,0.65625,0.01
1.2986679850123979,0.625,0.01
0.9536560199555086,0.65625,0.01
1.1827402787041141,0.625,0.01
1.2710045186571441,0.6875,0.01
1.5214635423525182,0.59375,0.01
1.3418998223249348,0.6875,0.01
1.0468421970750295,0.65625,0.01
1.5365377350215714,0.5,0.01
0.6671092000474245,0.78125,0.01
0.864609329162003,0.75,0.01
0.7416581776084445,0.78125,0.01
0.7069190729065696,0.78125,0.01
1.281460975076702,0.71875,0.01
0.6692771115608525,0.8125,0.01
0.7286891065779234,0.6875,0.01
1.2763746254805564,0.6875,0.01
0.788909626743405,0.78125,0.01
1.0786878161262612,0.6875,0.01
0.6447417524455303,0.84375,0.01
0.7776743289683774,0.78125,0.01
0.4690635183237321,0.90625,0.01
0.8532509382412583,0.78125,0.01
0.8770783060335818,0.71875,0.01
0.5637001425870489,0.875,0.01
0.6670645187743023,0.78125,0.01
1.1233568344181277,0.75,0.01
0.655951592548914,0.84375,0.01
1.0710341707496918,0.78125,0.01
1.1247757215113454,0.6875,0.01
0.8905451168978928,0.75,0.01
0.4996853594064142,0.8125,0.01
0.9337580360403316,0.75,0.01
0.41801723038696775,0.90625,0.01
0.6877534960480823,0.84375,0.01
0.7782066336314026,0.75,0.01
0.44343350328934805,0.90625,0.01
0.6236728983652007,0.84375,0.01
0.4418362260642195,0.8125,0.01
1.1384228504131098,0.84375,0.01
0.9214731501215194,0.78125,0.01
0.7053519808954204,0.8125,0.01
0.5810589478710564,0.8125,0.01
0.5233486914398364,0.875,0.01
0.725295033929459,0.84375,0.01
1.1847311436589918,0.6875,0.01
0.3417354869960486,0.90625,0.01
0.7823828152645859,0.84375,0.01
0.7378476857474745,0.8125,0.01
0.48306227439654054,0.90625,0.01
0.5293184049387953,0.8125,0.01
0.6366892094267543,0.84375,0.01
0.4830897378930662,0.90625,0.01
0.7676677687625636,0.875,0.01
0.4367632782134736,0.9375,0.01
0.4133522291657947,0.875,0.01
0.663459493228387,0.75,0.01
0.4851126666300615,0.9375,0.01
0.33564606864281854,0.875,0.01
0.6437860952991825,0.875,0.01
0.4080953196733189,0.90625,0.01
0.8715151920133484,0.78125,0.01
0.19054484850938702,1.0,0.01
0.4807831099962337,0.90625,0.01
0.28210174311113434,0.96875,0.01
1.0120730790344388,0.75,0.01
0.5055689676303479,0.90625,0.01
0.45797436843280825,0.9375,0.01
0.6133838398041651,0.84375,0.01
0.8622273924322365,0.78125,0.01
0.4107041549179979,0.875,0.01
0.46199156267715613,0.84375,0.01
0.7439123526022664,0.78125,0.01
0.6058003760262672,0.84375,0.01
0.2332758032846192,0.96875,0.01
0.551730769119835,0.8125,0.01
