loss,accuracy,lr,val_loss,val_accuracy
0.9128302445966241,0.7613970588235294,0.01,0.627123829459953,0.8386666666666667
0.5844298136772286,0.861764705882353,0.01,0.563915166533272,0.868
0.6279798227134377,0.8628676470588236,0.01,0.5398653087070837,0.8793333333333333
0.5675530582994865,0.8775735294117647,0.01,0.5703461430018466,0.892
0.5687641378436499,0.8860294117647058,0.01,0.5998732808197121,0.884
0.6129526983671517,0.8845588235294117,0.01,0.6008932702604406,0.884
0.6035069547909341,0.8823529411764706,0.01,0.5901887522001231,0.888
0.5617529168598567,0.8933823529411765,0.01,0.5747786811897238,0.8973333333333333
0.5845049467026818,0.9003676470588236,0.01,0.5938785694602037,0.8906666666666667
0.6692327676554602,0.881985294117647,0.01,0.6489652242772043,0.8913333333333333
0.579885757317787,0.9022058823529412,0.01,0.6320164280789126,0.9026666666666666
0.645764915842972,0.8955882352941177,0.01,0.6042105376471959,0.906
0.616573351329102,0.899264705882353,0.01,0.6272509597321858,0.9006666666666666
0.6400821513102026,0.899264705882353,0.01,0.620243048235615,0.9153333333333333
0.688800246085916,0.8871323529411764,0.01,0.6781267176509709,0.8913333333333333
0.6633994352649697,0.899264705882353,0.01,0.6262119473360511,0.914
0.6643834078716822,0.9077205882352941,0.01,0.6275283388849122,0.9153333333333333
0.6502351490460713,0.9080882352941176,0.01,0.7401429634420432,0.8906666666666667
0.6831174407240911,0.8959558823529412,0.01,0.7031753272848561,0.9093333333333333
0.7148376862569765,0.9099264705882353,0.01,0.7315381610411228,0.902
0.89560759423454,0.850328947368421,0.01,0.7186280346697183,0.8953333333333333
