loss,accuracy,val_loss,val_accuracy,lr
0.5863921642303467,0.7285714149475098,0.809166431427002,0.7313432693481445,1e-04
0.3289884328842163,0.8689441084861755,0.2192400097846985,0.93034827709198,1e-04
0.19636797904968262,0.9254658222198486,0.17799869179725647,0.9353233575820923,1e-04
0.16585135459899902,0.9434782862663269,0.1488671749830246,0.9402984976768494,1e-04
0.12100515514612198,0.9571428298950195,0.07837202399969101,0.9502487778663635,1e-04
0.13364067673683167,0.9472049474716187,0.1705840528011322,0.9402984976768494,1e-04
0.1070234626531601,0.9621118307113647,0.059756889939308167,0.9900497794151306,1e-04
0.09334366768598557,0.9602484703063965,0.06940676271915436,0.9800994992256165,1e-04
0.0801166445016861,0.9776397347450256,0.02154049649834633,0.9900497794151306,1e-04
0.07378457486629486,0.9726707935333252,0.029842715710401535,0.9800994992256165,1e-04
0.0579262301325798,0.9813664555549622,0.036610037088394165,0.9850746393203735,5e-05
0.054233431816101074,0.9795030951499939,0.08190051466226578,0.96517413854599,5e-05
0.05317169427871704,0.9801242351531982,0.019536705687642097,0.9950248599052429,5e-05
0.0632418841123581,0.9720497131347656,0.09861353784799576,0.9601989984512329,5e-05
0.046326130628585815,0.9801242351531982,0.022134948521852493,0.9900497794151306,5e-05
0.04219241812825203,0.9819875955581665,0.03820927068591118,0.9850746393203735,5e-05
0.03722114861011505,0.9863353967666626,0.044378962367773056,0.9800994992256165,2.5e-05
0.03052046336233616,0.9888198971748352,0.036813411861658096,0.9800994992256165,2.5e-05
0.03569371625781059,0.9888198971748352,0.05932876095175743,0.9701492786407471,2.5e-05
0.03783925995230675,0.9857142567634583,0.055536698549985886,0.96517413854599,1.25e-05
0.035254113376140594,0.9869565367698669,0.05263100937008858,0.96517413854599,1.25e-05
0.028913447633385658,0.9906832575798035,0.04212755709886551,0.9751243591308594,1.25e-05
0.029455769807100296,0.9881987571716309,0.03703692555427551,0.9751243591308594,6.25e-06
